FlowId,Environment,FlowType,FlowDirectionType,QueueName,QueueManagerName,UseSSL,ApplicationName
net.apmoller.smq.feed.seq.gleo3.GCSS_GLEO3_STATUS_Inbound_RQ1107_Feed, PP, Feed, Source, SMQ.GLEO.PP.GCSS.EDU.STATUS.FEED.RCV,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.feed.seq.gleo3.GCSS_GLEO3_STATUS_Inbound_RQ1114_Feed, PP, Feed, Destination, IIB.GLEO.GCSS.STATUS.EVENT,RQ1114,TRUE,        GLEO3
net.apmoller.smq.feed.seq.gleo3.GCSS_GLEO3_STATUS_Inbound_RQ1114_Feed, PP, Feed, Source, SMQ.GLEO.PP.GCSS.EDU.STATUS.FEED.RCV,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.feed.seq.gleo3.GLEO3_GCSS_FUI_Outbound_RQ1107_Feed, PP, Feed, Destination, SMQ.GCSS.FUI.GLEO.FEED.EVENT,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.feed.seq.gleo3.GLEO3_GCSS_FUI_Outbound_RQ1107_Feed, PP, Feed, Source, IIB.GCSS.FUI.GLEO.RCV,RQ1107,TRUE,        GLEO3
net.apmoller.smq.feed.seq.gleo3.GLEO3_GCSS_FUI_Outbound_RQ1114_Feed, PP, Feed, Destination, SMQ.GCSS.FUI.GLEO.FEED.EVENT,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.feed.seq.gleo3.GLEO3_GCSS_FUI_Outbound_RQ1114_Feed, PP, Feed, Source, IIB.GCSS.FUI.GLEO.RCV,RQ1114,TRUE,        GLEO3
net.apmoller.smq.rr.gleo3.GLEO3_GCSS_VV_RQ1107_GCSSEDUA_Reply, PP, Reply, Source, SMQ.GLEO.GQ.VV.RQ1107.RESP.RCV,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.rr.gleo3.GLEO3_GCSS_VV_RQ1107_GCSSEDUA_Reply, PP, Reply, Destination, IIB.GLEO3.GCSSEXP.GENQRY.REPLY.RCV,RQ1107,TRUE,        GLEO3
net.apmoller.smq.rr.gleo3.GLEO3_GCSS_VV_RQ1107_GCSSEDUA_Request, PP, Request, Source, IIB.GLEO.GCSS.GQ.VV.REQ.RCV,RQ1107,TRUE,        GLEO3
net.apmoller.smq.rr.gleo3.GLEO3_GCSS_VV_RQ1107_GCSSEDUA_Request, PP, Request, Destination, SMQ.GLEO.GQ.VV.REQ,GCSSEDUA,FALSE,        GCSS
